"avg_median_age","avg_revenue_per_listing"
33.0000000000000000,9481.2857142857142857
33.0000000000000000,18370.010593220339
33.0000000000000000,10875.5625000000000000
34.0000000000000000,11625.579831932773
36.0000000000000000,25656.342281879195
32.0000000000000000,10311.6263736263740000
40.0000000000000000,18005.777027027027
43.0000000000000000,53183.716981132075
36.0000000000000000,39300.619354838710
33.0000000000000000,15144.845070422535
42.0000000000000000,82398.381709741551
37.0000000000000000,34600.065610859729
34.0000000000000000,21609.805507745267
34.0000000000000000,11943.910714285714
34.0000000000000000,37278.167493796526
36.0000000000000000,20936.674647887324
32.0000000000000000,32712.674881516588
35.0000000000000000,48311.415723645027
37.0000000000000000,32199.616122840691
39.0000000000000000,55023.589390962672
